Агашово,"Деревня в янегском сельском поселении лодейнопольского района ленинградской области."

Виновка,"Село в городищенском районе волгоградской области, входит в состав ерзовского городского поселения. село находится на правом берегу реки волги."

Цереус,Род растений из семейства кактусовые.

Ивашков,"Село, относится к кодымскому району одесской области украины."

Куслокки,"Озеро на территории лендерского сельского поселения муезерского района республики карелия."

Темрево,Деревня в великолукском районе псковской области россии. входит в состав сельского поселения «успенская волость».

Пупочник,"Род растений семейства бурачниковые (boraginaceae), включающий 16 видов."

Царикаевы,Дигорский род из северной осетии.

Анадоль,Село в волновахском районе донецкой области украины.

Акадо,"Российский телекоммуникационный холдинг, оказывающий услуги доступа в интернет, телевещания, радиовещания, телефонии и другие услуги связи. штаб-квартира"